%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83009.494,300.012,349.535,108.345,0.016,-0.017,5.000
83009.494,300.012,349.614,108.185,-0.001,0.004,5.000
83017.556,300.012,349.535,108.185,-0.001,-0.007,5.000
83009.494,300.014,349.456,108.185,0.016,0.004,5.000
82997.399,300.014,349.456,108.185,-0.001,0.004,5.000
83001.431,300.014,349.377,108.185,0.016,0.004,5.000
83001.431,300.014,349.377,108.185,0.016,-0.017,5.000
83005.462,300.016,349.377,108.345,-0.001,-0.007,5.000
83001.431,300.011,349.456,108.025,-0.001,0.004,5.000
83005.462,300.014,349.456,108.185,0.016,-0.007,5.000
83009.494,300.016,349.456,108.345,0.016,0.004,5.000
83005.462,300.014,349.298,108.185,0.016,-0.007,5.000
83005.462,300.012,349.219,108.345,-0.001,-0.017,5.000
83001.431,300.017,349.298,108.826,-0.001,-0.007,5.000
83009.494,300.014,349.298,108.345,-0.017,-0.007,5.000
83005.462,300.016,349.298,108.666,-0.001,-0.007,5.000
83005.462,300.014,349.219,108.826,-0.001,-0.007,5.000
83009.494,300.014,349.140,108.826,-0.001,0.004,5.000
83009.494,300.014,348.903,108.986,-0.017,-0.017,5.000
83009.494,300.012,348.903,108.826,0.032,-0.007,5.000
83005.462,300.014,348.982,108.826,-0.017,-0.007,5.000
83005.462,300.016,348.982,108.986,0.016,0.026,5.000
83005.462,300.016,348.824,108.986,-0.001,-0.007,5.000
83005.462,300.012,348.824,108.826,0.016,0.004,5.000
83005.462,300.012,348.745,108.986,-0.033,0.004,5.000
83005.462,300.016,348.745,108.826,0.032,-0.017,5.000
83005.462,300.014,348.745,108.826,0.032,0.004,5.000
83001.431,300.011,348.745,108.986,0.032,-0.028,5.000
83001.431,300.014,348.745,108.666,-0.001,-0.017,5.000
83005.462,300.012,348.666,108.506,-0.001,0.004,5.000
83001.431,300.012,348.587,109.146,-0.001,-0.007,5.000
82997.399,300.016,348.666,108.826,-0.001,-0.007,5.000
83001.431,300.014,348.587,108.986,-0.001,-0.007,5.000
83009.494,300.016,348.666,108.826,-0.001,-0.007,5.000
82997.399,300.014,348.429,108.826,-0.033,0.004,5.000
83005.462,300.012,348.429,108.826,-0.001,-0.007,5.000
83009.494,300.014,348.350,108.666,-0.001,-0.007,5.000
83005.462,300.014,348.271,108.986,-0.017,0.004,5.000
83001.431,300.012,348.350,108.826,0.016,0.004,5.000
83009.494,300.012,348.271,108.666,-0.017,-0.007,5.000
83001.431,300.016,348.113,108.666,0.016,0.015,5.000
83009.494,300.012,348.192,108.666,0.016,-0.017,5.000
83005.462,300.011,348.192,108.986,-0.017,-0.007,5.000
83005.462,300.014,348.034,108.506,0.032,0.004,5.000
83005.462,300.016,347.955,108.826,-0.001,-0.007,5.000
83005.462,300.016,348.113,108.986,-0.017,0.004,5.000
83009.494,300.016,347.955,108.826,0.016,-0.007,5.000
83005.462,300.012,347.955,108.986,-0.001,-0.017,5.000
83005.462,300.012,347.955,108.666,-0.001,0.015,5.000
83009.494,300.012,347.876,108.666,0.016,-0.007,5.000
83005.462,300.017,347.797,109.146,0.016,0.004,5.000
83005.462,300.014,347.876,108.826,-0.017,-0.007,5.000
83013.525,300.016,347.639,108.666,-0.001,0.004,5.000
83013.525,300.014,347.718,108.826,-0.017,-0.007,5.000
83005.462,300.014,347.718,108.666,0.016,-0.007,5.000
83009.494,300.014,347.560,109.146,0.016,0.004,5.000
83005.462,300.012,347.639,109.306,-0.001,0.004,5.000
83009.494,300.011,347.639,109.146,0.016,0.015,5.000
83013.525,300.012,347.560,109.306,-0.001,-0.007,5.000
83017.556,300.012,347.639,109.306,-0.033,0.004,5.000
83005.462,300.012,347.481,109.626,-0.001,-0.007,5.000
83009.494,300.012,347.560,109.466,0.016,-0.007,5.000
83001.431,300.011,347.481,109.306,-0.017,-0.017,5.000
83005.462,300.011,347.481,109.466,-0.033,0.004,5.000
83009.494,300.011,347.560,109.786,-0.017,0.004,5.000
83005.462,300.014,347.481,109.946,-0.033,0.004,5.000
83013.525,300.012,347.560,109.786,-0.001,-0.007,5.000
83017.556,300.011,347.639,110.107,-0.001,-0.007,5.000
83005.462,300.011,347.481,109.946,-0.017,0.004,5.000
83005.462,300.011,347.560,110.267,-0.001,0.004,5.000
83005.462,300.012,347.639,110.267,-0.001,0.004,5.000
83013.525,300.012,347.639,110.427,-0.001,-0.007,5.000
83013.525,300.009,347.402,110.427,-0.001,0.015,5.000
83005.462,300.009,347.718,110.267,-0.017,0.015,5.000
83013.525,300.011,347.639,110.427,-0.001,-0.017,5.000
83013.525,300.012,347.639,110.587,-0.001,-0.007,5.000
83005.462,300.011,347.718,110.427,-0.001,0.004,5.000
83005.462,300.012,347.876,110.427,0.016,-0.007,5.000
83009.494,300.014,347.797,110.587,0.016,0.004,5.000
83005.462,300.012,347.955,110.747,-0.033,-0.017,5.000
83013.525,300.012,347.797,110.747,-0.001,-0.007,5.000
83005.462,300.011,348.034,110.107,0.016,0.015,5.000
83005.462,300.014,347.797,110.427,-0.001,-0.017,5.000
83005.462,300.011,347.955,110.587,0.016,0.015,5.000
83005.462,300.014,347.955,110.587,0.016,0.004,5.000
83009.494,300.012,348.034,110.427,0.016,-0.028,5.000
83009.494,300.011,348.192,110.747,-0.001,0.015,5.000
83009.494,300.014,348.113,110.427,-0.001,0.004,5.000
83001.431,300.012,348.113,110.587,0.016,-0.007,5.000
83009.494,300.014,348.113,110.587,-0.001,-0.007,5.000
83009.494,300.016,348.192,110.427,-0.033,0.004,5.000
83013.525,300.016,348.271,110.267,-0.001,0.004,5.000
82997.399,300.012,348.350,110.267,0.032,0.004,5.000
